service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
a,20130107,20130428,0,0,0,0,0,1,0
muw,20130107,20130428,1,1,1,0,0,0,0
muwtf,20130107,20130428,1,1,1,1,1,0,0
Wkd_Reg,20121224,20130106,1,0,1,1,1,0,0
f,20130107,20130428,0,0,0,0,1,0,0
Thu_Fri,20121224,20130106,0,0,0,1,1,0,0
Boxing,20121224,20130106,0,0,1,0,0,0,0
Saturday,20121224,20130106,0,0,0,0,0,1,0
s,20130107,20130428,0,0,0,0,0,0,1
muwt,20130107,20130428,1,1,1,1,0,0,0
X_Mas,20121224,20130106,0,1,0,0,0,0,0
tf,20130107,20130428,0,0,0,1,1,0,0
Sunday_NYD,20121224,20130106,0,1,0,0,0,0,1
NYE,20121224,20130106,1,0,0,0,0,0,0
