route_long_name,route_id,route_type,route_text_color,agency_id,route_color,route_url,route_short_name
Erb West,5,3,,,,,5
Highland,24,3,,,,,24
Queen South,25,3,,,,,25
Chicopee,27,3,,,,,27
Victoria Hills,20,3,,,,,20
Elmira,21,3,,,,,21
Laurentian West,22,3,,,,,22
Idlewood,23,3,,,,,23
Keats Way,29,3,,,,,29
Glasgow,4,3,,,,,4
University/Fairview Park,8,3,,,,,8
Huron Industrial AM Special,9931,3,,,,,9931
Kitchener Train Stn. Shuttle,9935,3,,,,,9935
Lakeshore,9,3,,,,,9
King East Special,9986,3,,,,,9986
SD-Auburn/SD-Chesapeake/SMH-S1 Express Special,9902,3,,,,,9902
Rt. 7 PM Special,9985,3,,,,,9985
Rt 32 and 7 Evening Special,9983,3,,,,,9983
KCI-Downtown Special,9981,3,,,,,9981
UW Special 1,9906,3,,,,,9906
UW Special 2,9907,3,,,,,9907
Rt 9 & Rt 12 Special,9904,3,,,,,9904
St David Special,9905,3,,,,,9905
Christopher,59,3,,,,,59
Elmwood,58,3,,,,,58
SD-Dansbury/BCI-Auburn/SMH-S2 Xp Special,9901,3,,,,,9901
St. Andrews,55,3,,,,,55
Lisbon Pines,54,3,,,,,54
Blair Road,57,3,,,,,57
Dunbar,56,3,,,,,56
Hespeler Road,51,3,,,,,51
Franklin Boulevard,53,3,,,,,53
Rt 19/SJAM-Erbsville/Rt 13 Special,9909,3,,,,,9909
Forest Glen/Conestoga College,16,3,,,,,16
Conestoga Mall/Conestoga College Express,114,3,,,,,114
St. B Cooper-Winston/JHSS Melran,9852,3,,,,,9852
Forest Glen/Conestoga College Express,116,3,,,,,116
CBC/GCI PM/ARC Industries,9854,3,,,,,9854
St. B Melran PM,9855,3,,,,,9855
Stanley Park/Conestoga College Express,113,3,,,,,113
Hespeler/Conestoga College Express,112,3,,,,,112
GCI Route 60 Special,9858,3,,,,,9858
Fairview Park/Ainslie Street,52,3,,,,,52
RCSS-Rolling Meadows/SMH-Max Becker,9911,3,,,,,9911
RCSS-Westmount Special,9910,3,,,,,9910
RCSS-Elm Ridge/SMH-Ottawa South Special,9913,3,,,,,9913
RCSS-Highview/SMH-Activa Special,9912,3,,,,,9912
SMH-Keewatin/SMH-Erinbrook Special,9915,3,,,,,9915
SD-Eastbridge/BCI-Dansbury Special,9914,3,,,,,9914
SMH-Doon Valley Special,9917,3,,,,,9917
Con Col Express Special,9916,3,,,,,9916
Oktoberfest Chicopee Shuttle,8884,3,,,,,8884
Rt 7F/Rt 7A/SMH-F2 Express/SMH-Vanier Special,9918,3,,,,,9918
Oktoberfest Concordia Shuttle,8881,3,,,,,8881
Oktoberfest Bingeman's Shuttle,8882,3,,,,,8882
Oktoberfest Queensmount Shuttle,8883,3,,,,,8883
Ottawa South,3,3,,,,,3
Mainline,7,3,,,,,7
Huron,33,3,,,,,33
Kumpf,32,3,,,,,32
Lexington,31,3,,,,,31
Eastbridge,35,3,,,,,35
RCSS-Driftwood Special,9964,3,,,,,9964
SMH-F1 Express/SMH-Erinbrook Special,9965,3,,,,,9965
ECI-Fairview 1/SMH-F2 Express/SMH-Max Becker Spec,9966,3,,,,,9966
