block_id,route_id,trip_headsign,service_id,shape_id,trip_id
b_2032,11,Downtown,a,1111,665381
b_713,7,A Fairview Park via Connaught,a,714,667475
a_805,8,University via Franklin/Westmount,Wkd_Reg,802,644501
b_701,7,D Charles St Terminal,a,723,667473
b_332,3,Ottawa South,a,300,665074
b_331,3,Ottawa South,a,300,665075
b_332,3,Ottawa South,a,300,665076
b_331,3,Ottawa South,a,300,665077
b_332,3,Ottawa South,a,300,665070
b_331,3,Ottawa South,a,300,665071
b_332,3,Ottawa South,a,300,665072
b_331,3,Ottawa South,a,300,665073
b_332,3,Ottawa South,a,300,665078
b_331,3,Ottawa South,a,300,665079
b_936,5,Uptown,a,511,666489
b_2533,15,Frederick,muwtf,1501,661611
b_1031,17,Heritage Park,muwtf,1700,661121
b_5431,58,Elmwood,muwtf,5800,663822
b_707,7,A Fairview Park via Connaught,a,716,667447
b_6101,61,Cambridge Centre,muwtf,6111,663361
b_804,8,Fairview via Westmount/Franklin TR,a,812,665287
b_6101,61,Cambridge Centre,muwtf,6111,663367
a_1232,12,To Fairview Park,Saturday,1211,649511
a_1234,12,To Fairview Park,Saturday,1211,649510
a_1235,12,To Fairview Park,Saturday,1211,649513
a_1238,12,To Fairview Park,Saturday,1211,649512
a_1236,12,To Fairview Park,Saturday,1211,649515
a_1281,12,To Fairview Park,Saturday,1211,649514
a_1232,12,To Fairview Park,Saturday,1211,649517
a_936,12,To Fairview Park,Saturday,1211,649516
a_1237,12,To Fairview Park,Saturday,1211,649519
a_1234,12,To Fairview Park,Saturday,1211,649518
b_2532,15,Frederick,muwtf,1501,661617
b_5201,52,Fairview via Preston Pkwy,a,5201,665865
b_702,7,C Conestoga Mall,s,707,668620
b_2281,23,Fairview Park,muwtf,2302,660111
a_757,7,D UW via University,Wkd_Reg,708,652627
a_710,7,D UW via University,Wkd_Reg,708,652626
a_706,7,E UW via Columbia,Wkd_Reg,706,652625
a_702,7,D UW via University,Wkd_Reg,708,652624
a_759,7,C Conestoga Mall,Wkd_Reg,707,652623
a_712,7,C Conestoga Mall,Wkd_Reg,707,652622
a_714,7,C Conestoga Mall,Wkd_Reg,707,652621
